service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF1-43-482-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-43-484-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-43-490-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-43-543-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-37-510-aus","0","0","0","1","0","0","0","20251201","20260301"
"MF14-37-512-aus","0","0","0","1","0","0","0","20251201","20260301"
"MF1-44-684-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-44-685-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF14-53-401-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-53-402-aus","1","1","1","1","0","0","0","20251201","20260301"
"MF14-53-403-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-53-404-aus","1","1","1","1","0","0","0","20251201","20260301"
"MF14-53-431-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF14-53-472-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-45-B05-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B50-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B51-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B52-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B53-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B54-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B55-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B60-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B61-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B63-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B64-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-45-B65-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B05-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B50-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B51-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B52-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B53-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B54-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B55-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B60-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B61-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B62-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B63-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B64-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B65-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B70-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-B71-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-46-BNG-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-49-605-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-49-612-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-49-623-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-49-624-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-49-626-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-49-630-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF1-51-789-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-790-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-791-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-792-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-795-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-796-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-798-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-799-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-881-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-890-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-891-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-892-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-893-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-894-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-895-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-897-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-51-898-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF15-21-670-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF15-21-693-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-52-831-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-834-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-835-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-836-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-837-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-838-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-839-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-840-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-841-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-842-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-846-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-847-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-888-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-889-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-899-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-925-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-926-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-927-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-928-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-52-929-aus","0","0","1","0","0","0","0","20251201","20260301"
"MF1-53-400-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-401-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-402-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-403-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-404-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-420-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-422-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-427-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-428-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-431-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-432-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-456-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-458-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-471-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-53-472-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF15-37-510-aus","0","0","0","0","1","0","0","20251201","20260301"
