stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"13746","Dennis Station","-37.77924153","145.00825153","","vic:rail:DEN","1","Level 0","1"
"13747","Dennis Station","-37.77914244","145.00825419","","vic:rail:DEN","1","Level 0","2"
"13748","Fairfield Station","-37.77923565","145.01698306","","vic:rail:FFD","1","Level 0","1"
"13749","Fairfield Station","-37.77912794","145.01700865","","vic:rail:FFD","1","Level 0","2"
"13750","Alphington Station","-37.77844825","145.03128755","","vic:rail:ALP","1","Level 0","1"
"13751","Alphington Station","-37.77835741","145.03124454","","vic:rail:ALP","1","Level 0","2"
"13752","Darebin Station","-37.77491182","145.03862494","","vic:rail:DBN","1","Level 0","1"
"13753","Darebin Station","-37.77484687","145.03851312","","vic:rail:DBN","1","Level 0","2"
"13754","Ivanhoe Station","-37.76891476","145.04542471","","vic:rail:IVA","1","Level 0","1"
"13755","Ivanhoe Station","-37.76884251","145.04541526","","vic:rail:IVA","1","Level 0","2"
"13756","Eaglemont Station","-37.76372873","145.05388218","","vic:rail:EAG","1","Level 0","1"
"13757","Eaglemont Station","-37.76366417","145.05379306","","vic:rail:EAG","1","Level 0","2"
"13758","Heidelberg Station","-37.75713898","145.06086541","","vic:rail:HDB","1","Level 0","1"
"13759","Heidelberg Station","-37.75705622","145.06076542","","vic:rail:HDB","1","Level 0","2"
"13760","Rosanna Station","-37.74317848","145.06629137","","vic:rail:ROS","1","Level 2","1"
"14232","Highett Station","-37.94800686","145.04165530","","vic:rail:HIG","1","Level 0","2"
"14233","Moorabbin Station","-37.93451410","145.03665436","","vic:rail:MRN","1","Level 0","1"
"14234","Moorabbin Station","-37.93452386","145.03669961","","vic:rail:MRN","1","Level 0","2"
"14235","Moorabbin Station","-37.93444488","145.03682687","","vic:rail:MRN","1","Level 0","3"
"14236","Patterson Station","-37.92487071","145.03552294","","vic:rail:PAT","1","Level 0","1"
"14237","Patterson Station","-37.92487147","145.03556843","","vic:rail:PAT","1","Level 0","2"
"14238","Patterson Station","-37.92490039","145.03568143","","vic:rail:PAT","1","Level 0","3"
"14239","Bentleigh Station","-37.91740523","145.03691602","","vic:rail:BEN","1","Level 0","1"
"14240","Bentleigh Station","-37.91778374","145.03691733","","vic:rail:BEN","1","Level 0","2"
"14241","Bentleigh Station","-37.91743529","145.03709723","","vic:rail:BEN","1","Level 0","3"
"14242","McKinnon Station","-37.91147568","145.03800637","","vic:rail:MCK","1","Level 0","1"
"14243","McKinnon Station","-37.91147644","145.03805184","","vic:rail:MCK","1","Level 0","2"
"14244","McKinnon Station","-37.91145169","145.03818900","","vic:rail:MCK","1","Level 0","3"
"14245","Ormond Station","-37.90418992","145.03937136","","vic:rail:OMD","1","Level 0","1"
"14246","Ormond Station","-37.90419086","145.03942820","","vic:rail:OMD","1","Level 0","2"
"14247","Ormond Station","-37.90420196","145.03955302","","vic:rail:OMD","1","Level 0","3"
"14248","Glen Huntly Station","-37.89018352","145.04194902","","vic:rail:GHY","1","Level 0","1"
"14249","Glen Huntly Station","-37.89019479","145.04208518","","vic:rail:GHY","1","Level 0","2"
"14250","Glen Huntly Station","-37.88940627","145.04235623","","vic:rail:GHY","1","Level 0","3"
"14251","Caulfield Station","-37.87736201","145.04208396","","vic:rail:CFD","1","Level 1","1"
"14252","Caulfield Station","-37.87735678","145.04231148","","vic:rail:CFD","1","Level 1","2"
"14253","Caulfield Station","-37.87728586","145.04238158","","vic:rail:CFD","1","Level 1","3"
"14254","Caulfield Station","-37.87716050","145.04243037","","vic:rail:CFD","1","Level 1","4"
"14255","Malvern Station","-37.86635911","145.02915471","","vic:rail:MAL","1","Level -1","1"
"14256","Malvern Station","-37.86626960","145.02919120","","vic:rail:MAL","1","Level -1","2"
"14257","Malvern Station","-37.86617280","145.02933019","","vic:rail:MAL","1","Level -1","3"
"14258","Malvern Station","-37.86625691","145.02950983","","vic:rail:MAL","1","Level -1","4"
"14259","Armadale Station","-37.85624829","145.01897865","","vic:rail:ARM","1","Level 0","1"
"14260","Armadale Station","-37.85620554","145.01911619","","vic:rail:ARM","1","Level 0","2"
"14263","Toorak Station","-37.85083188","145.01361153","","vic:rail:TOR","1","Level 0","1"
"14264","Toorak Station","-37.85073394","145.01368235","","vic:rail:TOR","1","Level 0","2"
"14267","Hawksburn Station","-37.84472941","145.00180876","","vic:rail:HKN","1","Level 0","1"
"14268","Hawksburn Station","-37.84463109","145.00185687","","vic:rail:HKN","1","Level 0","2"
"14271","Sandringham Station","-37.95028398","145.00449433","","vic:rail:SHM","1","Level 0","1"
"14272","Hampton Station","-37.93819338","145.00148746","","vic:rail:HAM","1","Level 0","1"
"14273","Hampton Station","-37.93812306","145.00159177","","vic:rail:HAM","1","Level 0","2"
"14275","Brighton Beach Station","-37.92635018","144.98921409","","vic:rail:BBH","1","Level 0","2"
"14276","Brighton Beach Station","-37.92645179","144.98935922","","vic:rail:BBH","1","Level 0","3"
"14277","Middle Brighton Station","-37.91475309","144.99666206","","vic:rail:MBN","1","Level 0","1"
"14278","Middle Brighton Station","-37.91480907","144.99677429","","vic:rail:MBN","1","Level 0","2"
"14279","North Brighton Station","-37.90469786","145.00259878","","vic:rail:NBN","1","Level 0","1"
"14280","North Brighton Station","-37.90484314","145.00266309","","vic:rail:NBN","1","Level -1","2"
"14281","Gardenvale Station","-37.89662205","145.00411355","","vic:rail:GVE","1","Level 0","1"
"14282","Gardenvale Station","-37.89665119","145.00423785","","vic:rail:GVE","1","Level 0","2"
"14283","Elsternwick Station","-37.88476077","145.00081807","","vic:rail:ELS","1","Level -1","1"
"14284","Elsternwick Station","-37.88474353","145.00086402","","vic:rail:ELS","1","Level -1","2"
"14285","Ripponlea Station","-37.87595970","144.99518964","","vic:rail:RIP","1","Level 0","1"
"14286","Ripponlea Station","-37.87589781","144.99525953","","vic:rail:RIP","1","Level 0","2"
"14287","Balaclava Station","-37.86936298","144.99359506","","vic:rail:BCV","1","Level 1","2"
"14288","Balaclava Station","-37.86933441","144.99350489","","vic:rail:BCV","1","Level 1","1"
"14289","Windsor Station","-37.85602412","144.99192230","","vic:rail:WIN","1","Level 0","1"
"14290","Windsor Station","-37.85608165","144.99212532","","vic:rail:WIN","1","Level 0","2"
"14291","Prahran Station","-37.84970629","144.98977527","","vic:rail:PRA","1","Level 0","1"
"14292","Prahran Station","-37.84968081","144.98986688","","vic:rail:PRA","1","Level 0","2"
"14293","South Yarra Station","-37.83850756","144.99205655","","vic:rail:SYR","1","Level 0","1"
"14294","South Yarra Station","-37.83851850","144.99216989","","vic:rail:SYR","1","Level 0","2"
"14295","South Yarra Station","-37.83852848","144.99222644","","vic:rail:SYR","1","Level 0","3"
"14296","South Yarra Station","-37.83854824","144.99232817","","vic:rail:SYR","1","Level 0","4"
"14297","South Yarra Station","-37.83854901","144.99237360","","vic:rail:SYR","1","Level 0","5"
"14298","South Yarra Station","-37.83855976","144.99247558","","vic:rail:SYR","1","Level 0","6"
"14299","Upfield Station","-37.66558921","144.94662870","","vic:rail:UFD","1","Level 0","1"
"14300","Gowrie Station","-37.70107512","144.95890880","","vic:rail:GOW","1","Level 0","1"
"14301","Gowrie Station","-37.70106513","144.95885236","","vic:rail:GOW","1","Level 0","2"
"14302","Fawkner Station","-37.71512768","144.96064458","","vic:rail:FAK","1","Level 0","1"
"14303","Fawkner Station","-37.71508929","144.96050950","","vic:rail:FAK","1","Level 0","2"
"14304","Merlynston Station","-37.72148512","144.96140054","","vic:rail:MYN","1","Level 0","1"
"14305","Merlynston Station","-37.72149334","144.96135493","","vic:rail:MYN","1","Level 0","2"
"14306","Batman Station","-37.73289075","144.96276710","","vic:rail:BAT","1","Level 0","1"
"14307","Batman Station","-37.73289897","144.96272149","","vic:rail:BAT","1","Level 0","2"
"14308","Coburg Station","-37.74236382","144.96338122","","vic:rail:COB","1","Level 0","1"
"14309","Coburg Station","-37.74234286","144.96321156","","vic:rail:COB","1","Level 0","2"
"14310","Moreland Station","-37.75409928","144.96193577","","vic:rail:MLD","1","Level 0","1"
"14311","Moreland Station","-37.75408733","144.96176584","","vic:rail:MLD","1","Level 0","2"
"14312","Anstey Station","-37.76131507","144.96073879","","vic:rail:ASY","1","Level 0","1"
"14313","Anstey Station","-37.76128589","144.96061473","","vic:rail:ASY","1","Level 0","2"
"14314","Brunswick Station","-37.76774875","144.95965388","","vic:rail:BWK","1","Level 0","1"
"14315","Brunswick Station","-37.76768373","144.95954214","","vic:rail:BWK","1","Level 0","2"
"14316","Jewell Station","-37.77497038","144.95879684","","vic:rail:JWL","1","Level 0","1"
"14317","Jewell Station","-37.77489616","144.95867400","","vic:rail:JWL","1","Level 0","2"
"14318","Royal Park Station","-37.78123856","144.95233407","","vic:rail:RPK","1","Level 0","1"
"14319","Royal Park Station","-37.78113908","144.95231411","","vic:rail:RPK","1","Level 0","2"
"14320","Flemington Bridge Station","-37.78827327","144.93921738","","vic:rail:FBD","1","Level 0","1"
"14321","Flemington Bridge Station","-37.78812114","144.93927838","","vic:rail:FBD","1","Level 0","2"
"14322","Macaulay Station","-37.79432177","144.93622158","","vic:rail:MAC","1","Level 0","1"
"14323","Macaulay Station","-37.79427455","144.93609797","","vic:rail:MAC","1","Level 0","2"
"14324","North Melbourne Station","-37.80706074","144.94219354","","vic:rail:NME","1","Level 0","1"
